data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#event+id,#country+code,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
5668524,356,IND58488,58488,22/07/2019,2019,2,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,6,,,0,60,Southern Asia,India,Jammu and Kashmir,Samba,Samba,Vijaypur,32.5649,75.0227,1,Early Times (India),Subnational,"As reported on 22 July, workers from Congress party, Vijaypur constituency, protested before the office of Sub Divisional Magistrate in Vijaypur town (Samba, J&K) demanding change of proposed site for the construction of a degree college from Tarore village to area close to Vijaypur town. [size=no report]",0,1564494185,IND
5668540,356,IND58504,58504,22/07/2019,2019,1,Protests,Protest with intervention,Protesters (India),Sikh Group (India),6,Police Forces of India (2014-),,1,16,Southern Asia,India,Punjab,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,Mohali,30.6799,76.7221,1,Chandigarh Tribune,Subnational,"On 22 July, approximately 200 members of Sikh religious bodies were lathicharged by the police behind the Punjab School Education Board premises in Mohali city (Sahibzada Ajit Singh Nagar, Punjab) as they demonstrated against the CBI's closure report in the Bargari case. Six demonstrators were injured. [size=200]",0,1564494185,IND
5668556,356,IND58520,58520,22/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,Southern Asia,India,Haryana,Karnal,Karnal,Karnal,29.6919,76.9844,1,Chandigarh Tribune,Subnational,"On 22 July, relatives of a student who was sodomised by other students, blocked the Kaithal road outside the school in Karnal city (Haryana) to oppose the inaction by the school management. [size=no report]",0,1564494185,IND
5668564,356,IND58528,58528,22/07/2019,2019,2,Protests,Protest with intervention,Protesters (India),Students (India),6,Private Security Forces (India),,8,68,Southern Asia,India,Uttar Pradesh,Agra,Agra,Agra,27.1833,78.0166,1,Times of India,National,"On 22 July (assumed), approximately 30 students demonstrated at the Dr Bhimrao Ambedkar University in Agra city (Uttar Pradesh) to oppose the irregularities in evaluation of answer sheets and the delay in the declaration of results. Demonstrators were assaulted by the varsity security guards; no injuries reported. [size=30]",0,1564494185,IND
5668949,524,NEP6251,6251,22/07/2019,2019,1,Protests,Peaceful protest,Protesters (Nepal),,6,,,0,60,Southern Asia,Nepal,Mid-Western,Karnali,Mugu,Mugu,29.7302,82.5154,2,Nepal Monitor,National,"On July 22, parents protested by padlocking Nepal National Basic School in Karmarong Rural Municipality-9 in Mugu area (Mugu district, Karnali). The protesters were expressing dissatisfaction with the teachers for staying absent for a long time. [size=no report]",0,1564494186,NPL
5669166,608,PHL8774,8774,22/07/2019,2019,1,Protests,Peaceful protest,Protesters (Philippines),Manobo Ethnic Group (Philippines); Lumad Ethnic Group (Philippines),6,,,0,60,South-Eastern Asia,Philippines,Davao Region,Davao del Sur,Davao City,Davao City,7.0731,125.6128,1,Philippine Daily Inquirer,National,"Manobo and Lumad protesters held a demonstration at Davao City, Davao del Sur province on July 22, 2019, the day of the President's State of the Nation speech. They criticized the government for shutting down the schools of indigenous people. [size=no report]",0,1564494186,PHL
5661876,364,IRN4849,4849,21/07/2019,2019,1,Protests,Peaceful protest,Protesters (Iran),Labour Group (Iran),6,,,0,60,Middle East,Iran,Kohgiluyeh and Buyer Ahmad,Gachsaran,Central,Dogonbadan,30.3586,50.7981,1,Iranian Labour News Agency,National,"On 21/7/2019, a group of contractual staff of Gachsaran Oil and Gas University protested against forced unpaid leave, outside the headquarters of the district governor in Dogonbadan. [size=no report]",0,1564425899,IRN
5663148,729,SUD12922,12922,21/07/2019,2019,1,Protests,Peaceful protest,Protesters (Sudan),Teachers (Sudan),6,,,0,60,Northern Africa,Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,1,Radio Dabanga,National,"On July 21st, academics protested outside of the Sudan University for Science and Technology (Khartoum), demanding the resignation of the director and for a free union to be established. [size=no report]",0,1564426184,SDN
5667746,50,BGD16355,16355,21/07/2019,2019,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),6,,,0,60,Southern Asia,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka-Shahbagh,23.7406,90.3943,1,Daily Star (Bangladesh),National,"On July 21, students of Dhaka university staged a protest demonstration on the gate of campus (Shahbagh, Dhaka city) demanding cancellation of seven colleges' affiliation with the university. [size=no report]",0,1564494184,BGD
5668457,356,IND58421,58421,21/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,Southern Asia,India,Jammu and Kashmir,Rajouri,Kalakot,Kalakot,33.2169,74.4183,2,Daily Excelsior,Subnational,"On July 21, locals from Moghla area protested at the main market in Moghla of Kalakot tehsil (Rajouri, J&K) demanding setting up of Degree College in Moghla. [size=no report]",0,1564494185,IND
5668463,356,IND58427,58427,21/07/2019,2019,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),,3,,,0,30,Southern Asia,India,Uttar Pradesh,Gonda,Gonda,Bangain,27.1654,82.1586,1,Asian News International,Regional,"On 21 July, a bomb exploded near the boundary wall of a private school in Bangain village (Gonda, Uttar Pradesh). No injuries were reported.",0,1564494185,IND
